,product_id,product_name,seller_id,seller_name,seller_product_id,primary_category_name,brand_id,brand_name,discount,discount_rate,original_price,price,rating_average,review_count,shipping_code,shipping_text,completion_time
39,192419698,"Chuột Không Dây HAVIT MS76, Thiết Kế Công Thái Học, 3 DPI+ 6 Nút Chỉnh, Tuổi Thọ 3Tr Lần Nhấn - Hàng Chính Hãng",276001,Phụ Kiện DEBOX STORE,192419703,Chuột Văn Phòng Không Dây,204385,Havit,125000,50,250000,125000,0.0,0,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
40,76558983,Chuột Không Dây Sạc Pin Máy Tính Sidotech M2S Chống Ồn Thiết Kế Công Thái Học Đèn LED RGB Thuộc Dòng Chuột Không Dây Gaming Logitech Fuhlen Xiaomi Apple Genius Dell Phù Hợp Cho Laptop Pc TV - Hàng Chính Hãng,117888,Sido Tech Official Store,76558985,Chuột Văn Phòng Không Dây,777069,SIDOTECH,0,0,119000,119000,4.5,39,delivery_info_badge,"Giao thứ 4, ngày 31/05",2023-05-27 00:38:01.348564
41,147806456," Chuột Trackball bi đỏ không dây, kết nối 3 phương thức ELECOM M-XPT1MRBK - Hàng chính hãng",207195,ELECOM store,147806457,Chuột Văn Phòng Không Dây,19072,Elecom,328500,15,2190000,1861500,5.0,4,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
42,7395841,Chuột Không Dây Ergo S118A - Thiết Kế Công Thái Học Chống Mỏi Tay - Sử Dụng,174379,Hùng Dũng 68,87012657,Chuột Văn Phòng Không Dây,111461,OEM,0,0,199000,199000,4.2,12,delivery_info_badge,"Giao thứ 4, ngày 31/05",2023-05-27 00:38:01.348564
43,134330265,CHUỘT KHÔNG DÂY BT21 BABY VER 3 2021 CHỐNG ỒN KẾT NỐI 2 CÁCH-HÀNG CHÍNH HÃNG,140682,Beens International,134330267,Chuột Văn Phòng Không Dây,32745,Royche,161263,25,645050,483787,0.0,0,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
44,144450255,"Chuột bi không dây, kết nối 3 phương thức ELECOM M-XPT1MRBK - Hàng chính hãng ",4314,Happystores,144450256,Chuột Văn Phòng Không Dây,19072,Elecom,320000,15,2190000,1870000,0.0,0,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
45,151570429,Chuột Không Dây Bluetooth RAPOO MT550 Tối Đa 4 Thiết Bị 3 Chế Độ Kết Nối - Hàng Chính Hãng,280245,RAPOO Official Store,174865152,Chuột Văn Phòng Không Dây,20271,Rapoo,200000,29,699000,499000,4.8,22,delivery_info_badge,"Giao thứ 4, ngày 31/05",2023-05-27 00:38:01.348564
46,186147077,Chuột Không Dây Logitech M325s - Hàng Chính Hãng,858,IT CHÍNH HÃNG (HCM),208137306,Chuột Văn Phòng Không Dây,18984,Logitech,0,0,360000,360000,0.0,0,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
47,104627322,Chuột Không Dây Hình Siêu Xe Cực Ngầu V.3,189164,Lingha Fashion,104627328,Chuột Văn Phòng Không Dây,111461,OEM,0,0,259000,259000,2.0,1,delivery_info_badge,"Giao thứ 4, ngày 31/05",2023-05-27 00:38:01.348564
48,192419730,"Chuột Không Dây HAVIT MS989, 2 Chế Độ DPI, Tích Hợp 3 Nút Điều Chỉnh, Tuổi Thọ 3 Triệu Lần Nhấn - Hàng Chính Hãng",276001,Phụ Kiện DEBOX STORE,192419733,Chuột Văn Phòng Không Dây,204385,Havit,75000,50,150000,75000,5.0,2,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
49,42928796,Chuột Không Dây A4Tech G3-200NS 1000 DPI Silent Wireless 2.5GHz - Hàng Chính Hãng,8948,A4Tech Official Store,58079443,Chuột Văn Phòng Không Dây,48051,A4Tech,0,0,170000,170000,5.0,3,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
50,174628414,Chuột Không Dây Bluetooth Microsoft BlueTrack Modern Mobile - Hàng Chính Hãng,127051,TrustBuy,174628420,Chuột Văn Phòng Không Dây,19246,Microsoft,210000,23,899000,689000,4.6,31,tikinow,Giao siêu tốc 2H,2023-05-27 00:38:03.024975
51,45426131,CHUỘT KHÔNG DÂY BANDA Q3 - HÀNG NHẬP KHẨU,119404,BÒN BON STORE,52333584,Chuột Văn Phòng Không Dây,518859,Banda,0,0,75000,75000,0.0,0,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:03.024975
52,74953697,"Chuột sạc không dây Inphic M2B 2.4G Bluetooth 5.0, chuột quang không dây 3 chế độ dành cho máy tính - Hàng chính hãng",5411,vinet shop,101371969,Chuột Văn Phòng Không Dây,703139,Inphic,0,0,168300,168300,2.5,2,delivery_info_badge,"Giao thứ 2, ngày 29/05",2023-05-27 00:38:03.024975
53,195528062,"Chuột không dây MOFII M3 thiết kế tai mèo kết nối bằng chip USB 2.4 và BLUETOOTH với điện thoại, ipad, máy tính,... - HÀNG CHÍNH HÃNG",249464,SHOP VL288,195528066,Chuột Văn Phòng Không Dây,63744,Mofii,0,0,219900,219900,2.0,1,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:03.024975
54,176902958,Chuột không dây Rapoo MT750S - Hàng Chính Hãng,200265,Kmart Store,176902959,Chuột Văn Phòng Không Dây,20271,Rapoo,0,0,885000,885000,0.0,0,delivery_info_badge,"Giao thứ 2, ngày 29/05",2023-05-27 00:38:03.024975
55,76558983,Chuột Không Dây Sạc Pin Máy Tính Sidotech M2S Chống Ồn Thiết Kế Công Thái Học Đèn LED RGB Thuộc Dòng Chuột Không Dây Gaming Logitech Fuhlen Xiaomi Apple Genius Dell Phù Hợp Cho Laptop Pc TV - Hàng Chính Hãng,117888,Sido Tech Official Store,76558985,Chuột Văn Phòng Không Dây,777069,SIDOTECH,0,0,119000,119000,4.5,39,delivery_info_badge,"Giao thứ 4, ngày 31/05",2023-05-27 00:38:03.024975
56,151605868,Chuột Không Dây Chống Ồn Genius NX-8000S - Hàng Chính Hãng ,287323,SILICOM STORE,182985564,Chuột Văn Phòng Không Dây,19071,Genius,13930,7,199000,185070,0.0,0,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:03.024975
57,74968954,Chuột Bluetooth + Wifi Inphic PM9BS có thể sạc lại (ba chế độ BT5.0 / 3.0 + 2.4Ghz) - Hàng chính hãng,132607,Yesbuy Store,74968960,Chuột Văn Phòng Không Dây,703139,Inphic,0,0,270000,270000,4.0,5,delivery_info_badge,"Giao thứ 4, ngày 31/05",2023-05-27 00:38:03.024975
58,204302593,"Chuột không dây Razer DeathAdder V3 Pro-Ergonomic Wireless Gaming Mouse_Mới, hàng chính hãng",271168,Good World,204302598,Chuột Văn Phòng Không Dây,18776,Razer,0,0,3990000,3990000,0.0,0,delivery_info_badge,"Giao thứ 4, ngày 31/05",2023-05-27 00:38:03.024975
59,252678577,Chuột không dây Logitech M325S Màu Bạc Nhạt- Hàng chính hãng,212803,Thành Nhân SINCE 1994,252678578,Chuột Văn Phòng Không Dây,18984,Logitech,0,0,379000,379000,0.0,0,delivery_info_badge,"Giao thứ 2, ngày 29/05",2023-05-27 00:38:03.024975
60,101280008,Chuột Văn Phòng Không Dây Cao Cấp IMICE G-1600 Silent Giảm Ồn 90% Bộ Thu Nano Tự Động Kết Nối  Hoạt Động Chính Xác Mượt Mà Khoảng Cách 10m Tiết Kiệm Pin Thông Minh Thay Đổi Nhanh  Độ Phân Giải 800/1200/1600DPI - Hàng Chính Hãng,165536,DDLstore,101280016,Chuột Văn Phòng Không Dây,192495,Imice,73000,35,210000,137000,4.5,25,delivery_info_badge,"Giao thứ 4, ngày 31/05",2023-05-27 00:38:03.024975
61,252678439,Chuột không dây Logitech M325S Màu Bạc Đậm- Hàng chính hãng,212803,Thành Nhân SINCE 1994,252678440,Chuột Văn Phòng Không Dây,18984,Logitech,0,0,379000,379000,0.0,0,delivery_info_badge,"Giao thứ 2, ngày 29/05",2023-05-27 00:38:03.024975
